# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4881 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,460.903,591.374,196.806,474021888,6.28,199.167,64.931,16726,1555.750,-1.000,0,65.34,4881.0,6167.0,5758.2,408.4,319.2,1246.2,123.7,9590.6,0.401,1,0.000,0.011,0.000,0.000,0.000
2,256,294.336,380.374,112.698,323321856,12.97,129.947,51.691,13,1025.264,0.820,0,0.05,4881.0,6162.9,5759.1,403.4,319.1,1254.3,127.0,9577.6,4.009,1,0.000,0.006,4.129,0.000,0.000
3,256,327.401,467.943,79.561,373690368,17.97,181.695,66.146,46,1139.670,0.820,0,0.18,4881.0,6157.5,5759.8,397.4,318.9,1264.9,129.7,9560.9,0.557,1,0.000,0.007,15.898,0.000,0.000
4,256,234.470,232.962,109.841,177364992,23.67,94.204,30.424,1,824.714,0.820,0,0.00,4881.0,6156.3,5758.6,397.4,318.9,1275.7,144.9,9547.1,0.594,1,0.000,0.007,7.457,0.000,0.000
5,256,266.741,312.339,92.285,247382016,27.94,134.372,40.083,1,939.686,0.820,0,0.00,4881.0,6151.6,5757.9,393.2,318.9,1286.1,156.1,9535.5,5.439,1,0.000,0.007,4.483,0.000,0.000
6,256,243.488,294.543,98.112,215580672,32.07,100.190,45.187,3,858.262,0.820,0,0.01,4881.0,6151.3,5757.7,393.2,318.9,1293.7,155.2,9523.2,5.280,1,0.000,0.006,19.714,0.000,0.000
7,256,228.412,213.068,116.863,156131328,35.93,73.117,38.432,33,810.796,0.820,0,0.13,4881.0,6148.6,5759.1,389.1,318.8,1298.9,151.5,9514.7,0.582,1,0.000,0.007,9.723,0.000,0.000
8,256,259.144,290.760,104.725,220520448,38.88,109.366,45.053,1,889.948,0.820,0,0.00,4881.0,6143.6,5758.4,384.9,318.8,1302.2,143.1,9510.0,3.519,1,0.000,0.007,14.108,0.000,0.000
9,256,262.867,318.747,97.300,244420608,41.32,121.219,44.349,1,942.549,0.820,0,0.00,4881.0,6141.2,5760.3,380.5,318.8,1307.4,154.2,9499.0,4.647,1,0.000,0.007,15.062,0.000,0.000
10,256,266.723,355.460,84.155,271380480,43.25,143.832,38.736,1,921.985,0.820,0,0.00,4881.0,6140.4,5759.5,380.5,318.8,1318.7,164.0,9485.7,5.317,1,0.000,0.007,2.787,0.000,0.000
11,256,246.932,254.816,94.913,185659392,45.48,116.668,35.352,33,851.460,0.820,0,0.13,4881.0,6137.8,5761.3,376.1,318.7,1327.4,167.6,9474.6,5.356,1,0.000,0.007,8.571,0.000,0.000
12,256,270.089,391.763,81.446,306238016,46.83,144.371,44.272,2,962.884,0.820,0,0.01,4881.0,6130.1,5757.9,371.7,319.1,1342.2,181.2,9459.2,4.996,1,0.000,0.007,7.039,0.000,0.000
13,256,255.808,285.921,93.270,216969216,48.61,119.301,43.237,2,873.532,0.820,0,0.01,4881.0,6133.2,5761.0,371.7,319.2,1334.9,148.7,9456.7,0.590,1,0.000,0.005,12.822,0.000,0.000
14,256,338.602,509.960,83.635,411918336,49.14,196.008,58.960,1,1188.539,0.820,0,0.00,4881.0,6079.9,5716.1,363.4,362.2,1383.8,209.4,9403.8,0.591,1,0.000,0.007,0.179,0.000,0.000
15,256,237.252,257.278,100.054,185266176,50.77,105.585,31.613,32,828.272,0.820,0,0.12,4881.0,6056.0,5696.8,358.7,381.0,1413.4,248.5,9374.7,0.538,1,0.000,0.006,4.451,0.000,0.000
16,256,218.498,213.235,98.874,158502912,52.38,81.823,37.801,1,744.408,0.820,0,0.00,4881.0,6053.8,5694.6,358.7,386.0,1412.4,247.4,9368.5,4.532,1,0.000,0.006,14.802,0.000,0.000
17,256,215.125,210.102,81.797,163246080,53.73,97.419,35.910,2,739.929,0.820,0,0.01,4881.0,6045.9,5686.8,358.7,390.3,1418.7,256.6,9365.8,4.939,1,0.000,0.006,7.501,0.000,0.000
18,256,278.542,396.408,75.913,301006848,54.43,145.589,57.040,0,959.540,0.820,0,0.00,4881.0,6032.6,5678.0,354.1,401.3,1422.0,265.3,9349.1,5.452,1,0.000,0.007,8.851,0.000,0.000
