# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=6 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=2 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,425.980,467.595,130.834,588681216,4.98,276.610,18.536,11302,1499.718,-1.000,0,44.15,4000.0,5889.0,4921.7,967.0,328.6,1895.9,314.2,9173.4,0.373,1,0.000,0.010,0.000,0.000,0.000
2,256,253.873,309.684,70.094,387317760,10.96,163.485,20.295,0,742.730,0.820,0,0.00,4000.0,5888.6,4921.2,967.0,328.6,1884.5,302.8,9173.9,1.857,1,0.000,0.010,0.000,0.000,0.000
3,256,283.311,357.402,73.788,443019264,15.30,186.012,23.510,9,817.715,0.820,0,0.04,4000.0,5888.9,4921.5,967.0,328.6,1883.1,301.3,9174.9,1.183,1,0.000,0.014,0.000,0.000,0.000
4,256,208.506,204.665,96.991,236027904,20.62,97.112,14.403,1,833.608,0.820,0,0.00,4000.0,5887.7,4920.4,967.0,328.6,1884.4,302.4,9175.2,1.166,1,0.000,0.013,0.000,0.000,0.000
5,256,218.495,234.113,89.170,266047488,24.87,111.170,18.156,1,820.487,0.820,0,0.00,4000.0,5887.1,4919.7,967.0,328.6,1884.5,302.5,9175.4,1.088,1,0.000,0.034,0.000,0.000,0.000
6,256,228.675,211.375,104.152,242245632,28.66,107.830,16.693,0,936.064,0.820,0,0.00,4000.0,5886.8,4919.4,967.0,328.6,1884.2,300.7,9175.7,1.134,1,0.000,0.012,0.000,0.000,0.000
7,256,194.027,160.528,104.333,172130304,32.40,77.138,12.555,10,834.108,0.820,0,0.04,4000.0,5888.1,4920.8,967.0,328.6,1883.6,299.0,9176.2,0.917,1,0.000,0.011,0.000,0.000,0.000
8,256,201.336,213.671,80.531,249851904,35.18,106.032,14.773,1,725.024,0.820,0,0.00,4000.0,5887.5,4920.2,967.0,328.6,1880.4,294.4,9179.2,0.902,1,0.000,0.010,0.000,0.000,0.000
9,256,237.152,264.432,87.306,311083008,37.26,131.777,18.068,0,834.985,0.820,0,0.00,4000.0,5886.6,4919.3,967.0,328.6,1880.6,294.6,9179.7,1.018,1,0.000,0.012,0.000,0.000,0.000
10,256,248.412,257.162,100.499,298045440,39.18,127.886,20.027,0,953.717,0.820,0,0.00,4000.0,5888.7,4921.3,967.0,328.6,1876.9,289.8,9179.9,1.055,1,0.000,0.013,0.000,0.000,0.000
11,256,181.485,175.292,91.998,190992384,41.45,79.627,9.860,9,723.321,0.820,0,0.04,4000.0,5888.7,4921.3,967.0,328.6,1876.3,289.2,9180.4,1.146,1,0.000,0.012,0.000,0.000,0.000
12,256,276.401,306.637,97.575,356901440,42.67,158.574,20.253,0,1000.773,0.820,0,0.00,4000.0,5887.2,4919.8,967.0,328.6,1876.4,289.3,9180.9,1.000,1,0.000,0.013,0.000,0.000,0.000
13,256,214.197,202.358,109.859,224968704,44.39,90.447,13.891,0,910.508,0.820,0,0.00,4000.0,5887.2,4919.8,967.0,328.6,1876.4,289.3,9180.9,1.151,1,0.000,0.011,0.000,0.000,0.000
14,256,297.558,348.343,96.192,414683136,45.10,180.093,21.273,0,1054.952,0.820,0,0.00,4000.0,5887.5,4920.2,967.0,328.6,1873.4,286.4,9181.7,0.927,1,0.000,0.011,0.000,0.000,0.000
15,256,177.491,158.939,91.443,177266688,46.76,75.248,10.800,9,720.115,0.820,0,0.04,4000.0,5887.5,4920.2,967.0,328.5,1868.6,275.2,9185.7,1.024,1,0.000,0.011,0.000,0.000,0.000
16,256,149.770,123.348,88.899,134406144,48.47,52.939,7.932,0,638.360,0.820,0,0.00,4000.0,5887.5,4920.2,967.0,328.5,1868.4,272.8,9186.0,1.144,1,0.000,0.009,0.000,0.000,0.000
17,256,169.818,139.256,101.023,152580096,49.96,59.671,9.124,0,764.296,0.820,0,0.00,4000.0,5887.5,4920.2,967.0,328.5,1868.0,272.3,9186.0,1.008,1,0.000,0.010,0.000,0.000,0.000
18,256,301.310,396.099,69.084,488742912,50.06,206.058,26.169,0,837.788,0.820,0,0.00,4000.0,5888.1,4920.7,967.0,328.5,1865.7,266.3,9187.7,0.825,1,0.000,0.011,0.000,0.000,0.000
19,256,180.569,175.480,90.569,203931648,51.19,78.921,11.080,9,721.752,0.820,0,0.04,4000.0,5888.1,4920.7,967.0,328.5,1865.9,266.4,9188.2,1.026,1,0.000,0.011,0.000,0.000,0.000
20,256,169.227,139.941,102.106,152973312,52.42,58.033,9.089,0,753.468,0.820,0,0.00,4000.0,5888.1,4920.7,967.0,328.5,1865.4,265.9,9188.2,0.930,1,0.000,0.012,0.000,0.000,0.000
21,256,163.371,123.666,87.534,128876544,53.65,66.765,9.071,0,708.593,0.820,0,0.00,4000.0,5888.1,4920.7,967.0,328.5,1851.7,250.1,9189.0,0.922,1,0.000,0.009,0.000,0.000,0.000
22,256,130.707,92.298,84.384,99250176,54.89,39.835,6.488,0,576.134,0.820,0,0.00,4000.0,5888.1,4920.7,967.0,328.5,1851.4,248.9,9189.5,0.914,1,0.000,0.010,0.000,0.000,0.000
23,256,218.262,220.660,90.349,243634176,55.59,113.293,14.620,9,795.282,0.820,0,0.04,4000.0,5888.1,4920.7,967.0,328.5,1849.2,233.3,9193.7,0.914,1,0.000,0.011,0.000,0.000,0.000
24,256,126.581,82.655,78.268,86507520,56.73,43.076,5.238,1,578.667,0.820,0,0.00,4000.0,5888.1,4920.7,967.0,328.5,1848.2,230.7,9195.2,1.082,1,0.000,0.009,0.000,0.000,0.000
25,256,139.407,98.036,91.158,107053056,57.74,41.267,6.983,0,647.056,0.820,0,0.00,4000.0,5888.1,4920.7,967.0,328.5,1848.2,230.7,9195.2,0.915,1,0.000,0.008,0.000,0.000,0.000
26,256,182.288,160.872,98.387,176971776,58.48,71.965,11.936,0,780.636,0.820,0,0.00,4000.0,5888.1,4920.7,967.0,328.5,1848.3,230.7,9195.5,0.902,1,0.000,0.012,0.000,0.000,0.000
27,256,139.362,90.817,94.585,97173504,59.41,38.157,6.619,9,664.044,0.820,0,0.04,4000.0,5888.2,4920.9,967.0,328.4,1848.3,230.7,9195.7,0.746,1,0.000,0.010,0.000,0.000,0.000
28,256,143.146,112.062,86.110,123543552,60.21,50.039,6.996,0,621.283,0.820,0,0.00,4000.0,5888.2,4920.9,967.0,328.4,1848.3,230.7,9195.7,0.815,1,0.000,0.010,0.000,0.000,0.000
29,256,116.898,66.376,83.187,67055616,61.12,28.123,5.588,0,562.361,0.820,0,0.00,4000.0,5888.2,4920.9,967.0,328.4,1847.9,230.2,9195.7,0.986,1,0.000,0.007,0.000,0.000,0.000
30,256,107.766,62.605,77.170,64782336,61.99,26.679,3.917,0,516.919,0.820,0,0.00,4000.0,5888.2,4920.9,967.0,328.4,1847.5,229.9,9196.2,0.782,1,0.000,0.008,0.000,0.000,0.000
