# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=0 cache_mb=0 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=0 force_cache=0 load_all=0 io_threads=0 o_direct=0 overlap=0 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=0 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,160,62.660,0.000,62.660,0,-1.00,0.000,0.000,0,169.233,-1.000,0,0.00,0.0,3983.0,286.7,3695.9,0.0,6204.1,132.5,11047.2,0.098,1,0.000,0.000,0.000,0.000,0.000
2,160,48.345,0.000,48.345,0,-1.00,0.000,0.000,4,137.873,-1.000,0,0.02,0.0,3978.4,286.7,3691.3,0.0,6191.5,132.5,11042.0,1.182,1,0.000,0.000,0.000,0.000,0.000
3,160,83.915,0.000,83.915,0,-1.00,0.000,0.000,8,208.824,-1.000,0,0.03,0.0,3975.6,286.7,3688.5,0.0,6171.9,123.5,11031.2,0.239,1,0.000,0.000,0.000,0.000,0.000
4,160,95.459,0.000,95.459,0,-1.00,0.000,0.000,0,235.346,-1.000,0,0.00,0.0,3969.5,286.7,3682.4,0.0,6151.2,124.9,11016.0,0.199,1,0.000,0.000,0.000,0.000,0.000
5,160,65.713,0.000,65.713,0,-1.00,0.000,0.000,0,178.849,-1.000,0,0.00,0.0,3968.1,286.7,3681.0,0.0,6211.4,192.4,11011.7,0.217,1,0.000,0.000,0.000,0.000,0.000
6,160,94.832,0.000,94.832,0,-1.00,0.000,0.000,0,254.283,-1.000,0,0.00,0.0,3967.9,286.7,3680.8,0.0,6193.3,196.0,11008.2,0.194,1,0.000,0.000,0.000,0.000,0.000
7,160,138.872,0.000,138.872,0,-1.00,0.000,0.000,0,366.924,-1.000,0,0.00,0.0,3957.7,286.7,3670.7,0.0,6161.5,174.8,11002.7,0.371,1,0.000,0.000,0.000,0.000,0.000
8,160,185.129,0.000,185.129,0,-1.00,0.000,0.000,0,463.811,-1.000,0,0.00,0.0,3957.7,286.7,3670.7,0.0,6209.9,202.5,11004.2,2.425,1,0.000,0.000,0.000,0.000,0.000
9,160,116.674,0.000,116.674,0,-1.00,0.000,0.000,0,287.063,-1.000,0,0.00,0.0,3957.7,286.7,3670.7,0.0,6193.8,172.9,11007.5,4.385,1,0.000,0.000,0.000,0.000,0.000
10,160,48.788,0.000,48.788,0,-1.00,0.000,0.000,0,164.341,-1.000,0,0.00,0.0,3957.7,286.7,3670.7,0.0,6184.0,157.8,11007.3,0.562,1,0.000,0.000,0.000,0.000,0.000
11,160,69.168,0.000,69.168,0,-1.00,0.000,0.000,0,199.348,-1.000,0,0.00,0.0,3957.7,286.7,3670.7,0.0,6172.9,159.5,11005.0,0.280,1,0.000,0.000,0.000,0.000,0.000
12,160,85.464,0.000,85.464,0,-1.00,0.000,0.000,0,253.859,-1.000,0,0.00,0.0,3953.9,286.7,3666.8,0.0,6169.5,164.4,11004.6,0.336,1,0.000,0.000,0.000,0.000,0.000
13,160,103.515,0.000,103.515,0,-1.00,0.000,0.000,0,276.668,-1.000,0,0.00,0.0,3953.9,286.7,3666.8,0.0,6165.2,164.2,10997.3,0.350,1,0.000,0.000,0.000,0.000,0.000
14,160,168.580,0.000,168.580,0,-1.00,0.000,0.000,0,439.927,-1.000,0,0.00,0.0,3953.9,286.7,3666.8,0.0,6201.2,201.5,10987.6,0.292,1,0.000,0.000,0.000,0.000,0.000
15,160,89.802,0.000,89.802,0,-1.00,0.000,0.000,0,276.069,-1.000,0,0.00,0.0,3946.0,286.7,3658.9,0.0,6196.6,218.7,10986.1,0.523,1,0.000,0.000,0.000,0.000,0.000
16,160,70.317,0.000,70.317,0,-1.00,0.000,0.000,12,206.782,-1.000,0,0.05,0.0,3948.9,286.7,3661.8,0.0,6186.3,182.9,10982.8,0.311,1,0.000,0.000,0.000,0.000,0.000
17,160,78.030,0.000,78.030,0,-1.00,0.000,0.000,6,248.030,-1.000,0,0.02,0.0,3948.9,286.7,3661.8,0.0,6177.3,182.8,10977.1,0.283,1,0.000,0.000,0.000,0.000,0.000
18,160,113.831,0.000,113.831,0,-1.00,0.000,0.000,0,315.657,-1.000,0,0.00,0.0,3948.9,286.7,3661.8,0.0,6181.2,187.7,10969.9,0.327,1,0.000,0.000,0.000,0.000,0.000
19,160,155.804,0.000,155.804,0,-1.00,0.000,0.000,0,424.078,-1.000,0,0.00,0.0,3945.5,286.7,3658.4,0.0,6147.9,186.3,10964.7,7.654,1,0.000,0.000,0.000,0.000,0.000
20,160,66.585,0.000,66.585,0,-1.00,0.000,0.000,10,206.066,-1.000,0,0.04,0.0,3947.6,286.7,3660.5,0.0,6147.7,167.0,10959.7,0.328,1,0.000,0.000,0.000,0.000,0.000
21,160,49.511,0.000,49.511,0,-1.00,0.000,0.000,0,164.888,-1.000,0,0.00,0.0,3947.6,286.7,3660.5,0.0,6138.6,158.5,10955.5,0.550,1,0.000,0.000,0.000,0.000,0.000
22,160,106.396,0.000,106.396,0,-1.00,0.000,0.000,0,302.708,-1.000,0,0.00,0.0,3947.6,286.7,3660.5,0.0,6138.2,160.5,10945.9,0.288,1,0.000,0.000,0.000,0.000,0.000
23,160,137.021,0.000,137.021,0,-1.00,0.000,0.000,0,418.627,-1.000,0,0.00,0.0,3947.6,286.7,3660.5,0.0,6173.4,225.2,10937.9,0.292,1,0.000,0.000,0.000,0.000,0.000
24,160,44.416,0.000,44.416,0,-1.00,0.000,0.000,0,157.282,-1.000,0,0.00,0.0,3943.2,286.7,3656.1,0.0,6169.4,225.9,10936.4,0.265,1,0.000,0.000,0.000,0.000,0.000
25,160,34.921,0.000,34.921,0,-1.00,0.000,0.000,4,116.616,-1.000,0,0.02,0.0,3945.8,286.7,3658.8,0.0,6166.1,219.7,10934.4,0.312,1,0.000,0.000,0.000,0.000,0.000
26,160,87.807,0.000,87.807,0,-1.00,0.000,0.000,0,269.426,-1.000,0,0.00,0.0,3945.8,286.7,3658.8,0.0,6234.8,290.6,10928.4,0.275,1,0.000,0.000,0.000,0.000,0.000
27,160,75.727,0.000,75.727,0,-1.00,0.000,0.000,0,251.059,-1.000,0,0.00,0.0,3945.8,286.7,3658.8,0.0,6237.1,297.1,10922.9,0.272,1,0.000,0.000,0.000,0.000,0.000
28,160,80.422,0.000,80.422,0,-1.00,0.000,0.000,0,262.505,-1.000,0,0.00,0.0,3945.8,286.7,3658.8,0.0,6238.6,325.5,10918.4,0.250,1,0.000,0.000,0.000,0.000,0.000
29,160,115.051,0.000,115.051,0,-1.00,0.000,0.000,0,369.018,-1.000,0,0.00,0.0,3945.8,286.7,3658.8,0.0,6238.0,325.5,10918.4,0.273,1,0.000,0.000,0.000,0.000,0.000
30,160,89.043,0.000,89.043,0,-1.00,0.000,0.000,0,285.744,-1.000,0,0.00,0.0,3945.8,286.7,3658.8,0.0,6238.1,325.5,10918.4,0.244,1,0.000,0.000,0.000,0.000,0.000
31,160,27.616,0.000,27.616,0,-1.00,0.000,0.000,0,109.549,-1.000,0,0.00,0.0,3945.8,286.7,3658.8,0.0,6235.8,323.2,10918.4,0.265,1,0.000,0.000,0.000,0.000,0.000
32,160,27.801,0.000,27.801,0,-1.00,0.000,0.000,0,109.421,-1.000,0,0.00,0.0,3945.8,286.7,3658.8,0.0,6215.0,301.8,10918.4,0.245,1,0.000,0.000,0.000,0.000,0.000
33,160,74.285,0.000,74.285,0,-1.00,0.000,0.000,13,231.032,-1.000,0,0.05,0.0,3949.3,286.7,3662.2,0.0,6192.4,272.0,10919.1,0.243,1,0.000,0.000,0.000,0.000,0.000
