# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3531 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,441.427,767.387,243.473,642011136,4.38,176.870,21.084,22784,975.626,-1.000,0,89.00,3531.1,4947.4,4488.4,458.6,295.8,1606.6,338.2,8309.3,0.378,1,0.000,0.009,0.000,0.000,0.000
2,256,253.191,517.653,127.498,421982208,10.07,108.954,16.739,784,547.308,0.820,0,3.06,3531.1,4946.1,4487.1,458.6,294.0,1612.5,346.6,8308.6,1.462,1,0.000,0.008,0.000,0.000,0.000
3,256,263.450,591.935,123.145,485683200,14.10,124.281,16.024,7,556.225,0.820,0,0.03,3531.1,4946.6,4487.5,458.6,294.0,1586.3,318.8,8309.3,0.732,1,0.000,0.005,0.000,0.000,0.000
4,256,201.559,340.312,122.828,262692864,19.30,68.061,10.670,1,465.660,0.820,0,0.00,3531.1,4948.0,4488.9,458.6,294.0,1579.3,311.1,8309.3,0.681,1,0.000,0.006,0.000,0.000,0.000
5,256,208.768,363.695,122.539,282046464,23.52,73.288,12.942,1,475.691,0.820,0,0.00,3531.1,4947.4,4488.4,458.6,294.0,1579.2,309.9,8309.8,0.685,1,0.000,0.006,0.000,0.000,0.000
6,256,205.662,358.090,124.875,274243584,27.19,69.142,11.645,1,473.879,0.820,0,0.00,3531.1,4947.0,4487.9,458.6,294.0,1568.4,299.1,8310.3,0.659,1,0.000,0.007,0.000,0.000,0.000
7,256,184.040,244.100,124.422,180129792,30.98,49.949,9.669,7,425.685,0.820,0,0.03,3531.1,4948.2,4489.2,458.6,294.0,1555.2,285.6,8310.6,0.686,1,0.000,0.007,0.000,0.000,0.000
8,256,436.022,377.354,352.760,276516864,33.68,71.658,11.604,1,1134.941,0.820,0,0.00,3531.1,4947.4,4488.4,458.6,294.0,1613.2,283.6,8416.4,0.530,1,0.000,0.010,0.000,0.000,0.000
9,256,216.526,415.349,124.798,329748480,35.74,78.395,13.333,1,463.431,0.820,0,0.00,3531.1,4946.8,4487.7,458.6,294.0,1609.5,279.4,8416.7,0.797,1,0.000,0.006,0.000,0.000,0.000
10,256,213.166,390.344,120.401,303476736,37.72,80.329,12.435,2,460.515,0.820,0,0.01,3531.1,4946.8,4487.7,458.6,294.0,1609.0,278.7,8416.9,0.646,1,0.000,0.005,0.000,0.000,0.000
11,256,179.768,254.728,123.247,190992384,40.07,48.780,7.741,7,440.770,0.820,0,0.03,3531.1,4946.8,4487.7,458.6,294.0,1607.8,277.5,8417.4,0.680,1,0.000,0.006,0.000,0.000,0.000
12,256,237.645,463.679,134.469,362234432,41.33,88.645,14.531,1,536.073,0.820,0,0.00,3531.1,4947.8,4488.8,458.6,294.0,1601.2,265.4,8418.7,0.663,1,0.000,0.005,0.000,0.000,0.000
13,256,194.402,310.420,125.317,230301696,43.09,58.520,10.565,1,448.137,0.820,0,0.00,3531.1,4947.9,4488.9,458.6,294.0,1600.9,265.1,8418.7,0.694,1,0.000,0.008,0.000,0.000,0.000
14,256,249.683,554.566,122.544,457347072,43.66,111.239,15.899,2,543.766,0.820,0,0.01,3531.1,4948.0,4489.0,458.6,294.0,1600.0,264.1,8419.2,0.640,1,0.000,0.005,0.000,0.000,0.000
15,256,193.534,262.623,138.295,190697472,45.34,45.339,9.901,6,482.530,0.820,0,0.02,3531.1,4948.0,4488.9,458.6,294.0,1600.6,250.4,8422.7,0.635,1,0.000,0.005,0.000,0.000,0.000
16,256,164.048,179.531,123.295,137072640,47.09,34.095,6.658,1,373.975,0.820,0,0.00,3531.1,4948.0,4488.9,458.6,294.0,1602.0,249.4,8422.9,0.689,1,0.000,0.005,0.000,0.000,0.000
17,256,175.704,200.304,123.893,155246592,48.62,44.312,7.499,2,412.803,0.820,0,0.01,3531.1,4948.1,4489.1,458.6,293.9,1604.8,252.2,8422.9,0.609,1,0.000,0.007,0.000,0.000,0.000
18,256,284.452,665.082,126.707,528936960,48.63,135.348,22.397,0,596.001,0.820,0,0.00,3531.1,4951.8,4492.8,458.6,293.9,1594.9,241.6,8423.7,0.663,1,0.000,0.005,0.000,0.000,0.000
19,256,199.907,332.508,125.174,260419584,49.61,63.418,11.315,8,476.589,0.820,0,0.03,3531.1,4949.3,4490.2,458.6,293.9,1593.4,240.1,8423.9,0.620,1,0.000,0.005,0.000,0.000,0.000
20,256,173.069,211.904,124.240,163639296,50.86,40.651,8.178,1,436.939,0.820,0,0.00,3531.1,4949.4,4490.3,458.6,293.9,1592.7,239.4,8423.9,0.707,1,0.000,0.005,0.000,0.000,0.000
21,256,171.491,205.662,123.768,155836416,52.05,38.590,9.133,1,425.646,0.820,0,0.00,3531.1,4949.4,4490.3,458.6,293.9,1592.8,238.9,8424.4,0.600,1,0.000,0.005,0.000,0.000,0.000
22,256,159.358,139.834,126.223,101916672,53.33,27.507,5.628,0,424.641,0.820,0,0.00,3531.1,4949.2,4490.2,458.6,293.9,1595.5,241.7,8424.7,0.598,1,0.000,0.005,0.000,0.000,0.000
23,256,209.699,374.271,124.516,291827712,53.93,72.195,12.987,7,493.951,0.820,0,0.03,3531.1,4951.2,4492.2,458.6,293.9,1594.4,240.4,8425.4,0.642,1,0.000,0.005,0.000,0.000,0.000
24,256,166.062,166.848,122.479,126603264,55.00,34.441,9.143,1,426.943,0.820,0,0.00,3531.1,4954.4,4495.3,458.6,293.9,1586.1,232.1,8425.7,0.682,1,0.000,0.005,0.000,0.000,0.000
25,256,167.915,164.756,127.554,125915136,56.00,33.380,6.981,0,438.633,0.820,0,0.00,3531.1,4951.9,4492.9,458.6,293.9,1579.5,225.4,8425.7,0.611,1,0.000,0.005,0.000,0.000,0.000
26,256,182.280,242.705,123.182,185069568,56.78,49.186,9.912,0,432.774,0.820,0,0.00,3531.1,4952.1,4493.0,458.6,293.9,1577.9,223.8,8425.9,0.602,1,0.000,0.005,0.000,0.000,0.000
27,256,178.140,202.350,128.032,156033024,57.59,42.569,7.539,8,421.512,0.820,0,0.03,3531.1,4951.9,4492.9,458.6,293.9,1577.6,223.5,8425.9,0.720,1,0.000,0.009,0.000,0.000,0.000
28,256,174.957,179.559,129.041,139542528,58.40,38.803,7.112,1,430.396,0.820,0,0.00,3531.1,4952.0,4493.0,458.6,293.9,1586.2,230.9,8426.4,0.603,1,0.000,0.010,0.000,0.000,0.000
29,256,176.573,208.574,127.289,160481280,59.11,39.551,9.734,0,428.747,0.820,0,0.00,3531.1,4952.0,4493.0,458.6,293.9,1590.8,230.9,8429.1,0.876,1,0.000,0.008,0.000,0.000,0.000
30,256,169.352,174.780,128.067,137072640,59.84,33.933,7.352,4,442.422,0.820,0,0.02,3531.1,4952.1,4493.1,458.6,293.8,1589.5,229.6,8429.1,0.658,1,0.000,0.007,0.000,0.000,0.000
31,256,163.632,140.083,125.577,109719552,60.61,30.566,7.489,7,390.532,0.820,0,0.03,3531.1,4952.2,4493.2,458.6,293.8,1588.6,228.7,8429.4,0.561,1,0.000,0.005,0.000,0.000,0.000
32,256,139.466,73.037,116.524,50958336,61.48,18.540,4.401,1,332.172,0.820,0,0.00,3531.1,4949.3,4490.2,458.6,293.8,1585.1,225.2,8429.4,0.627,1,0.000,0.012,0.000,0.000,0.000
33,256,430.688,583.998,299.929,465838080,61.31,111.358,19.401,0,1080.147,0.820,0,0.00,3531.1,4954.3,4495.3,458.6,293.8,1580.5,219.1,8429.9,0.661,1,0.000,0.007,0.000,0.000,0.000
34,256,276.136,566.808,132.145,455860224,61.18,119.540,24.451,1,602.611,0.820,0,0.00,3531.1,4953.8,4494.8,458.6,293.6,1637.5,271.5,8431.6,0.667,1,0.000,0.005,0.000,0.000,0.000
35,256,256.673,528.363,126.265,436506624,61.09,104.172,26.236,8,597.491,0.820,0,0.03,3531.1,4952.8,4493.8,458.6,293.6,1613.3,249.7,8430.9,0.634,1,0.000,0.006,0.000,0.000,0.000
36,256,201.545,288.092,138.788,220225536,61.49,52.033,10.723,2,459.107,0.820,0,0.01,3531.1,4953.1,4494.0,458.6,293.6,1611.4,247.7,8430.9,0.732,1,0.000,0.005,0.000,0.000,0.000
37,256,172.007,194.661,121.289,148230144,62.03,41.133,9.585,1,411.452,0.820,0,0.00,3531.1,4950.5,4491.5,458.6,293.6,1611.4,247.7,8431.1,0.629,1,0.000,0.005,0.000,0.000,0.000
38,256,195.933,327.525,124.379,244518912,62.35,60.233,11.321,1,467.210,0.820,0,0.00,3531.1,4950.5,4491.5,458.6,293.6,1610.0,246.3,8431.4,0.647,1,0.000,0.006,0.000,0.000,0.000
39,256,173.925,210.400,122.833,160776192,62.82,41.324,9.768,8,410.075,0.820,0,0.03,3531.1,4953.1,4494.1,458.6,293.6,1608.8,245.1,8431.6,0.722,1,0.000,0.006,0.000,0.000,0.000
40,256,215.885,405.742,126.254,311181312,62.97,76.079,13.552,0,490.255,0.820,0,0.00,3531.1,4950.6,4491.6,458.6,293.6,1607.5,243.9,8431.6,0.670,1,0.000,0.005,0.000,0.000,0.000
41,256,237.761,491.518,124.849,388902912,62.95,96.604,16.307,1,545.761,0.820,0,0.00,3531.1,4947.9,4488.9,458.6,293.6,1606.4,242.8,8432.4,0.608,1,0.000,0.005,0.000,0.000,0.000
42,256,255.269,578.663,124.053,448155648,62.82,113.315,17.901,0,546.900,0.820,0,0.00,3531.1,4948.0,4489.0,458.6,293.6,1606.7,241.9,8432.9,0.673,1,0.000,0.005,0.000,0.000,0.000
43,256,166.665,177.351,122.736,129171456,63.31,37.036,6.892,8,410.772,0.820,0,0.03,3531.1,4948.0,4489.0,458.6,293.6,1605.9,241.1,8433.4,0.666,1,0.000,0.006,0.000,0.000,0.000
44,256,178.821,242.485,123.597,191090688,63.66,46.015,9.208,1,450.776,0.820,0,0.00,3531.1,4948.3,4489.3,458.6,293.6,1603.2,236.8,8434.0,0.665,1,0.000,0.005,0.000,0.000,0.000
45,256,158.140,123.138,121.247,91643904,64.18,29.807,7.085,2,403.434,0.820,0,0.01,3531.1,4948.6,4489.5,458.6,293.5,1601.0,234.6,8434.2,0.622,1,0.000,0.005,0.000,0.000,0.000
46,256,184.036,229.423,124.603,166797312,64.55,49.597,9.836,0,449.168,0.820,0,0.00,3531.1,4947.4,4488.3,458.6,293.5,1594.3,226.8,8434.5,0.592,1,0.000,0.005,0.000,0.000,0.000
47,256,193.858,288.402,124.410,222793728,64.80,57.604,11.843,8,446.316,0.820,0,0.03,3531.1,4947.5,4488.4,458.6,293.4,1591.8,224.3,8434.5,0.554,1,0.000,0.006,0.000,0.000,0.000
48,256,202.710,170.456,163.901,123248640,65.22,31.673,7.136,1,588.370,0.820,0,0.00,3531.1,4947.4,4488.3,458.6,293.4,1595.5,228.0,8434.8,0.711,1,0.000,0.007,0.000,0.000,0.000
49,256,353.650,166.070,307.957,110604288,65.65,39.721,5.972,0,985.910,0.820,0,0.00,3531.1,4947.5,4488.4,458.6,293.4,1586.8,218.3,8437.5,0.605,1,0.000,0.010,0.000,0.000,0.000
50,256,156.942,106.121,126.456,75644928,66.12,23.698,6.787,1,355.444,0.820,0,0.00,3531.1,4947.6,4488.5,458.6,293.4,1586.3,217.8,8437.5,0.622,1,0.000,0.014,0.000,0.000,0.000
51,256,179.262,223.681,122.997,171933696,66.41,48.119,8.147,6,427.382,0.820,0,0.02,3531.1,4947.7,4488.6,458.6,293.4,1586.3,217.8,8438.0,0.700,1,0.000,0.005,0.000,0.000,0.000
52,256,148.205,79.758,123.618,53723136,66.89,20.692,3.894,2,394.916,0.820,0,0.01,3531.1,4947.6,4488.5,458.6,293.2,1584.2,215.6,8438.0,0.624,1,0.000,0.007,0.000,0.000,0.000
53,256,362.344,144.365,326.221,99250176,67.27,28.312,7.810,1,1039.694,0.820,0,0.00,3531.1,4947.5,4488.5,458.6,293.2,1582.6,213.4,8438.8,0.575,1,0.000,0.011,0.000,0.000,0.000
