# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,462.832,588.164,184.540,452689920,6.53,205.493,72.799,13933,1566.599,-1.000,0,54.43,5000.0,6311.1,5850.9,460.0,346.0,1283.6,123.2,9605.5,0.402,1,0.000,0.008,0.000,0.000,0.000
2,256,290.838,384.276,118.649,312655872,13.29,122.494,49.695,12,1032.906,0.820,0,0.05,5000.0,6306.7,5851.5,455.0,346.1,1286.5,133.3,9600.1,1.168,1,0.000,0.007,9.132,0.000,0.000
3,256,307.419,455.994,98.501,368357376,18.32,140.212,68.706,50,1129.572,0.820,0,0.20,5000.0,6299.6,5852.2,447.1,346.0,1290.2,146.9,9594.9,0.570,1,0.000,0.005,9.847,0.000,0.000
4,256,231.440,227.602,97.229,172032000,24.03,104.865,29.346,1,812.042,0.820,0,0.00,5000.0,6298.1,5851.0,446.9,346.0,1291.5,149.3,9596.5,0.577,1,0.000,0.005,9.438,0.000,0.000
5,256,275.008,309.687,111.731,242049024,28.29,125.405,37.872,1,980.757,0.820,0,0.00,5000.0,6293.1,5850.5,442.4,346.0,1296.9,149.8,9590.8,0.560,1,0.000,0.006,4.459,0.000,0.000
6,256,247.094,273.696,108.948,207581184,32.45,89.717,48.429,0,894.631,0.820,0,0.00,5000.0,6288.0,5850.0,437.7,346.0,1300.1,150.1,9588.0,4.935,1,0.000,0.006,11.974,0.000,0.000
7,256,226.970,199.664,133.110,148131840,36.27,70.337,23.524,36,783.953,0.820,0,0.14,5000.0,6281.2,5847.8,433.1,349.6,1304.1,158.2,9582.0,4.948,1,0.000,0.006,4.820,0.000,0.000
8,256,259.860,272.781,121.479,209854464,39.25,103.577,34.804,1,917.785,0.820,0,0.00,5000.0,6256.0,5827.1,428.6,369.5,1319.4,183.1,9565.5,0.596,1,0.000,0.006,6.052,0.000,0.000
9,256,283.451,319.660,115.487,239087616,41.70,130.176,37.788,0,977.698,0.820,0,0.00,5000.0,6249.5,5825.0,424.2,373.2,1318.4,159.9,9565.3,0.570,1,0.000,0.006,11.165,0.000,0.000
10,256,295.458,344.160,96.868,260714496,43.67,148.152,50.437,0,1018.660,0.820,0,0.00,5000.0,6227.8,5811.2,416.4,386.6,1334.3,181.1,9550.6,0.522,1,0.000,0.006,16.016,0.000,0.000
11,256,251.466,250.902,113.966,182992896,45.90,102.704,34.795,35,873.202,0.820,0,0.14,5000.0,6226.5,5809.9,416.4,386.8,1339.1,187.2,9543.8,0.578,1,0.000,0.006,9.059,0.000,0.000
12,256,278.881,361.890,101.904,282239552,47.35,142.469,34.508,2,968.954,0.820,0,0.01,5000.0,6216.4,5809.1,407.0,387.1,1343.4,207.2,9540.3,0.566,1,0.000,0.005,2.566,0.000,0.000
13,256,271.968,280.641,101.068,208871424,49.07,117.549,53.351,1,932.027,0.820,0,0.00,5000.0,6212.5,5810.1,402.1,387.1,1345.9,221.3,9537.3,0.594,1,0.000,0.006,11.761,0.000,0.000
14,256,322.670,497.684,85.109,409251840,49.59,188.961,48.600,1,1157.226,0.820,0,0.00,5000.0,6207.3,5809.8,397.2,388.2,1348.4,232.7,9530.9,0.572,1,0.000,0.005,0.000,0.000,0.000
15,256,243.032,245.630,117.450,179834880,51.23,89.127,36.455,37,846.645,0.820,0,0.14,5000.0,6200.7,5807.4,393.0,391.0,1350.1,242.1,9525.6,0.524,1,0.000,0.005,11.102,0.000,0.000
16,256,230.212,211.695,124.318,155836416,52.86,76.924,28.970,0,823.133,0.820,0,0.00,5000.0,6200.6,5807.3,393.0,390.7,1353.6,248.9,9522.2,0.577,1,0.000,0.005,2.191,0.000,0.000
17,256,245.421,216.524,109.735,160579584,54.20,109.622,26.064,2,829.232,0.820,0,0.01,5000.0,6192.9,5801.4,391.2,395.8,1355.3,252.4,9514.7,0.515,1,0.000,0.005,7.038,0.000,0.000
18,256,414.629,389.293,197.031,293007360,54.96,176.037,41.562,0,1263.172,0.820,0,0.00,5000.0,6184.7,5797.3,387.1,399.4,1402.0,216.1,9674.9,4.978,1,0.000,0.006,2.836,0.000,0.000
19,256,259.476,279.235,112.334,209068032,55.98,112.079,35.063,36,899.095,0.820,0,0.14,5000.0,6181.7,5794.3,387.1,402.8,1458.8,276.9,9667.4,5.353,1,0.000,0.005,6.785,0.000,0.000
20,256,184.758,247.749,89.631,197910528,56.98,60.265,34.862,0,670.816,0.820,0,0.00,5000.0,6180.6,5793.2,387.1,402.8,1449.0,269.0,9665.4,0.574,1,0.000,0.006,0.877,0.000,0.000
21,256,157.704,234.754,89.370,187834368,57.94,37.910,30.424,1,593.303,0.820,0,0.00,5000.0,6201.3,5813.9,387.1,387.6,1443.9,263.9,9680.5,0.559,1,0.000,0.006,1.555,0.000,0.000
22,256,128.397,129.367,88.679,104583168,59.13,22.161,17.557,0,493.031,0.820,0,0.00,5000.0,6196.4,5809.6,386.5,387.6,1444.7,244.7,9684.3,0.558,1,0.000,0.005,2.789,0.000,0.000
23,256,310.967,189.560,200.960,147443712,60.13,89.275,20.732,35,961.571,0.820,0,0.14,5000.0,6184.7,5801.8,382.6,394.8,1425.3,176.4,9706.7,0.523,1,0.000,0.008,1.678,0.000,0.000
24,256,210.887,157.615,139.550,107544576,61.21,41.142,30.194,1,734.843,0.820,0,0.00,5000.0,6183.6,5802.7,380.6,396.8,1435.2,192.8,9702.0,0.573,1,0.000,0.007,13.611,0.000,0.000
25,256,223.479,177.716,116.803,133914624,62.10,80.046,26.631,0,757.935,0.820,0,0.00,5000.0,6175.6,5794.7,380.6,402.7,1437.3,193.4,9696.0,4.606,1,0.000,0.005,8.281,0.000,0.000
26,256,243.848,212.460,114.010,160776192,62.82,102.128,27.710,0,840.918,0.820,0,0.00,5000.0,6189.0,5808.1,380.6,389.9,1439.0,198.5,9706.2,0.572,1,0.000,0.006,0.758,0.000,0.000
27,256,218.299,130.201,136.700,94408704,63.70,62.455,19.144,36,738.412,0.820,0,0.14,5000.0,6180.8,5804.4,376.1,391.5,1442.6,191.1,9702.2,0.522,1,0.000,0.006,7.566,0.000,0.000
28,256,220.094,178.405,122.820,128581632,64.46,78.218,19.056,1,754.895,0.820,0,0.00,5000.0,6183.0,5806.6,376.1,394.0,1440.0,192.9,9696.5,1.128,1,0.000,0.005,4.466,0.000,0.000
29,256,207.382,134.620,112.210,93622272,65.28,67.180,27.992,0,726.168,0.820,0,0.00,5000.0,6179.9,5804.2,375.5,394.0,1445.6,205.7,9693.6,0.572,1,0.000,0.005,11.515,0.000,0.000
30,256,195.483,111.100,139.860,78409728,66.07,39.777,15.845,1,685.428,0.820,0,0.00,5000.0,6176.8,5801.0,375.5,395.6,1446.1,210.4,9692.1,0.520,1,0.000,0.006,6.001,0.000,0.000
31,256,195.487,119.468,146.552,83251200,66.85,33.788,15.147,36,696.191,0.820,0,0.14,5000.0,6176.7,5801.1,375.4,395.9,1449.7,219.3,9688.8,0.520,1,0.000,0.006,0.454,0.000,0.000
32,256,195.506,89.456,151.898,64487424,67.61,29.991,13.617,1,696.921,0.820,0,0.00,5000.0,6181.9,5806.3,375.4,390.7,1450.0,220.3,9694.1,0.522,1,0.000,0.005,0.356,0.000,0.000
33,256,270.953,282.240,93.641,211734528,67.94,141.579,35.733,232,947.343,0.820,0,0.91,5000.0,6182.6,5809.9,372.4,386.9,1452.6,232.1,9693.9,0.579,1,0.000,0.006,1.220,0.000,0.000
34,256,251.533,247.847,108.185,187637760,68.34,112.196,31.152,1,868.124,0.820,0,0.00,5000.0,6180.9,5813.3,367.4,386.4,1454.4,247.7,9689.1,4.893,1,0.000,0.005,4.353,0.000,0.000
35,256,251.184,265.804,112.388,200871936,68.66,113.444,25.352,37,846.862,0.820,0,0.14,5000.0,6176.4,5810.5,365.6,386.3,1459.3,263.4,9685.9,0.596,1,0.000,0.004,1.455,0.000,0.000
36,256,219.599,124.692,148.180,83251200,69.28,46.643,24.776,0,759.237,0.820,0,0.00,5000.0,6171.6,5807.3,364.1,389.4,1465.5,280.4,9687.5,0.619,1,0.000,0.006,6.330,0.000,0.000
37,256,195.093,77.047,151.306,51154944,69.91,31.624,12.163,1,672.176,0.820,0,0.00,5000.0,6171.2,5806.8,364.1,389.4,1469.1,292.0,9683.3,0.561,1,0.000,0.005,4.878,0.000,0.000
38,256,135.833,149.550,92.215,113074176,70.41,24.575,19.043,179,522.367,0.820,0,0.70,5000.0,6172.5,5808.1,364.1,388.4,1459.2,282.4,9685.2,0.575,1,0.000,0.006,2.959,0.000,0.000
39,256,113.728,98.508,90.517,77819904,70.96,10.803,12.408,37,455.039,0.820,0,0.14,5000.0,6177.3,5812.9,364.1,388.2,1452.5,275.7,9685.5,0.614,1,0.000,0.006,1.405,0.000,0.000
40,256,120.932,116.133,89.195,99348480,71.45,15.935,15.802,0,481.541,0.820,0,0.00,5000.0,6173.0,5808.6,364.1,388.2,1457.2,280.3,9685.5,0.584,1,0.000,0.006,1.664,0.000,0.000
41,256,119.179,110.299,89.575,91348992,71.92,16.264,13.341,1,461.016,0.820,0,0.00,5000.0,6173.2,5808.9,364.1,388.2,1455.1,278.3,9685.5,0.535,1,0.000,0.005,1.280,0.000,0.000
42,256,157.725,221.465,91.035,171540480,72.19,38.856,27.835,0,579.753,0.820,0,0.00,5000.0,6173.5,5809.1,364.1,388.2,1454.3,277.5,9685.5,0.622,1,0.000,0.005,3.118,0.000,0.000
43,256,124.094,125.823,88.881,102113280,72.61,19.430,15.783,36,486.452,0.820,0,0.14,5000.0,6173.8,5809.5,364.1,388.1,1454.1,277.3,9685.8,0.663,1,0.000,0.006,1.803,0.000,0.000
44,256,122.520,127.236,89.627,104386560,73.05,13.732,19.161,1,498.979,0.820,0,0.00,5000.0,6173.5,5809.1,364.1,388.1,1453.9,277.1,9685.8,0.560,1,0.000,0.006,5.045,0.000,0.000
45,256,120.318,100.928,87.553,86016000,73.43,18.682,14.082,2,463.995,0.820,0,0.01,5000.0,6173.8,5809.4,364.1,388.1,1453.7,276.8,9685.8,0.552,1,0.000,0.005,1.763,0.000,0.000
46,256,122.704,118.527,90.490,96780288,73.82,16.894,15.320,0,487.903,0.820,0,0.00,5000.0,6173.9,5809.5,364.1,388.1,1454.1,277.2,9685.8,0.582,1,0.000,0.005,2.201,0.000,0.000
47,256,123.829,118.434,87.789,94212096,74.18,21.720,14.320,37,474.828,0.820,0,0.14,5000.0,6174.3,5809.9,364.1,387.9,1452.5,275.6,9686.1,0.516,1,0.000,0.005,1.169,0.000,0.000
48,256,103.884,57.733,89.260,45821952,74.60,7.687,6.936,1,419.590,0.820,0,0.00,5000.0,6174.0,5809.6,364.1,387.9,1452.5,275.7,9686.4,0.560,1,0.000,0.005,0.439,0.000,0.000
49,256,102.785,56.566,89.675,42958848,75.03,4.840,8.271,0,426.022,0.820,0,0.00,5000.0,6174.0,5809.7,364.1,387.9,1451.6,274.8,9686.4,0.592,1,0.000,0.004,2.048,0.000,0.000
50,256,103.198,69.861,89.634,53821440,75.43,4.218,9.345,1,433.932,0.820,0,0.00,5000.0,6174.1,5809.8,364.1,387.9,1451.7,274.8,9686.4,0.506,1,0.000,0.004,1.192,0.000,0.000
51,256,133.220,147.678,91.478,115544064,75.71,24.014,17.728,35,508.232,0.820,0,0.14,5000.0,6174.7,5810.3,364.1,387.7,1450.7,273.8,9687.4,0.566,1,0.000,0.005,1.706,0.000,0.000
52,256,99.474,45.839,89.270,32391168,76.09,4.515,5.689,2,396.857,0.820,0,0.01,5000.0,6174.1,5809.7,364.1,387.7,1450.3,273.5,9689.6,0.525,1,0.000,0.005,0.708,0.000,0.000
53,256,103.854,54.106,89.577,42762240,76.46,5.157,9.120,1,425.536,0.820,0,0.00,5000.0,6174.2,5809.8,364.1,387.7,1451.9,275.1,9689.6,0.528,1,0.000,0.005,2.049,0.000,0.000
54,256,94.154,31.630,90.108,18960384,76.84,0.000,4.046,1,389.186,0.820,0,0.00,5000.0,6174.2,5809.8,364.1,387.7,1449.6,272.8,9690.8,0.507,1,0.000,0.004,0.768,0.000,0.000
55,256,120.822,97.019,90.964,72585216,77.15,16.036,13.823,36,474.587,0.820,0,0.14,5000.0,6174.8,5810.5,364.1,387.6,1448.0,267.8,9692.1,0.584,1,0.000,0.005,2.891,0.000,0.000
56,256,114.595,90.132,88.660,78114816,77.43,13.707,12.228,2,447.419,0.820,0,0.01,5000.0,6172.8,5808.4,364.1,387.6,1450.9,270.7,9692.1,0.557,1,0.000,0.005,1.282,0.000,0.000
57,256,115.971,94.074,91.660,72880128,77.72,12.677,11.634,1,461.239,0.820,0,0.00,5000.0,6173.2,5808.9,364.1,387.6,1449.2,269.0,9692.1,0.534,1,0.000,0.005,1.218,0.000,0.000
58,256,106.830,73.469,89.208,53526528,78.04,5.065,12.557,1,431.420,0.820,0,0.00,5000.0,6173.1,5808.7,364.1,387.6,1450.1,269.9,9692.1,0.552,1,0.000,0.005,4.435,0.000,0.000
59,256,185.100,298.747,97.161,236126208,78.05,47.557,40.382,36,702.915,0.820,0,0.14,5000.0,6172.8,5808.5,364.1,387.4,1449.7,269.5,9692.1,0.591,1,0.000,0.007,2.395,0.000,0.000
