# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=0 cache_mb=0 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=0 force_cache=0 load_all=0 io_threads=0 o_direct=0 overlap=0 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=0 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,128,48.987,0.000,48.987,0,-1.00,0.000,0.000,0,162.279,-1.000,0,0.00,0.0,3912.3,286.9,3625.1,0.0,6290.2,301.7,11331.7,0.125,1,0.000,0.000,0.000,0.000,0.000
2,128,96.749,0.000,96.749,0,-1.00,0.000,0.000,11,268.201,-1.000,0,0.04,0.0,3915.0,286.9,3627.9,0.0,6330.8,287.3,11332.5,1.276,1,0.000,0.000,0.000,0.000,0.000
3,128,48.080,0.000,48.080,0,-1.00,0.000,0.000,0,152.291,-1.000,0,0.00,0.0,3918.0,286.9,3630.9,0.0,6332.8,274.1,11332.5,0.318,1,0.000,0.000,0.000,0.000,0.000
4,128,66.926,0.000,66.926,0,-1.00,0.000,0.000,0,196.592,-1.000,0,0.00,0.0,3918.0,286.9,3630.9,0.0,6318.4,243.0,11332.5,1.385,1,0.000,0.000,0.000,0.000,0.000
5,128,84.167,0.000,84.167,0,-1.00,0.000,0.000,0,242.421,-1.000,0,0.00,0.0,3915.3,286.9,3628.1,0.0,6295.8,227.4,11335.7,0.288,1,0.000,0.000,0.000,0.000,0.000
6,128,90.357,0.000,90.357,0,-1.00,0.000,0.000,0,270.833,-1.000,0,0.00,0.0,3908.2,286.9,3621.0,0.0,6299.7,271.4,11337.5,0.298,1,0.000,0.000,0.000,0.000,0.000
7,128,58.357,0.000,58.357,0,-1.00,0.000,0.000,0,185.529,-1.000,0,0.00,0.0,3903.9,286.9,3616.8,0.0,6287.8,279.2,11337.0,0.398,1,0.000,0.000,0.000,0.000,0.000
8,128,68.051,0.000,68.051,0,-1.00,0.000,0.000,0,208.596,-1.000,0,0.00,0.0,3899.8,286.9,3612.6,0.0,6283.8,309.2,11336.5,0.514,1,0.000,0.000,0.000,0.000,0.000
9,128,65.393,0.000,65.393,0,-1.00,0.000,0.000,0,208.937,-1.000,0,0.00,0.0,3899.8,286.9,3612.6,0.0,6278.3,301.6,11336.5,0.712,1,0.000,0.000,0.000,0.000,0.000
10,128,61.513,0.000,61.513,0,-1.00,0.000,0.000,0,192.574,-1.000,0,0.00,0.0,3898.9,286.9,3611.8,0.0,6286.3,312.8,11336.3,0.505,1,0.000,0.000,0.000,0.000,0.000
11,128,78.342,0.000,78.342,0,-1.00,0.000,0.000,12,238.465,-1.000,0,0.05,0.0,3901.9,286.9,3614.7,0.0,6286.0,293.8,11336.3,0.286,1,0.000,0.000,0.000,0.000,0.000
