# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,378.764,857.503,158.537,588681216,4.98,217.611,2.615,17113,825.515,-1.000,0,66.85,4000.0,6154.1,5384.5,769.2,383.0,1266.9,269.0,8937.8,0.411,1,0.000,0.011,0.000,0.000,0.000
2,256,236.468,548.232,96.133,387317760,10.96,136.718,3.617,0,513.808,0.820,0,0.00,4000.0,6154.1,5384.5,769.2,383.0,1266.7,268.8,8938.3,1.925,1,0.000,0.010,0.000,0.000,0.000
3,256,278.178,659.537,105.637,443019264,15.30,170.498,2.042,48,583.950,0.820,0,0.19,4000.0,6154.2,5384.6,769.2,382.9,1259.8,231.9,8944.8,0.917,1,0.000,0.008,0.000,0.000,0.000
4,256,182.233,333.611,103.375,236027904,20.62,76.964,1.895,1,481.607,0.820,0,0.00,4000.0,6154.2,5384.6,769.2,382.7,1259.4,231.4,8944.8,1.145,1,0.000,0.010,0.000,0.000,0.000
5,256,204.360,373.192,115.322,266047488,24.87,85.184,3.853,1,561.954,0.820,0,0.00,4000.0,6154.2,5384.6,769.2,382.7,1259.4,230.9,8945.1,1.026,1,0.000,0.012,0.000,0.000,0.000
6,256,199.174,345.100,117.735,242245632,28.66,79.232,2.207,0,576.429,0.820,0,0.00,4000.0,6154.2,5384.6,769.2,382.7,1258.6,229.8,8945.3,0.887,1,0.000,0.011,0.000,0.000,0.000
7,256,168.523,249.053,107.563,172130304,32.40,57.691,3.269,48,490.094,0.820,0,0.19,4000.0,6154.5,5384.8,769.2,382.6,1259.6,230.2,8945.8,0.938,1,0.000,0.009,0.000,0.000,0.000
8,256,193.017,353.866,107.900,249851904,35.18,83.182,1.935,1,527.830,0.820,0,0.00,4000.0,6154.5,5384.8,769.2,382.6,1255.3,215.6,8947.3,0.727,1,0.000,0.009,0.000,0.000,0.000
9,256,211.375,435.939,111.095,311083008,37.26,98.345,1.935,0,550.683,0.820,0,0.00,4000.0,6154.5,5384.8,769.2,382.6,1255.3,215.6,8947.6,0.941,1,0.000,0.010,0.000,0.000,0.000
10,256,214.534,416.201,118.443,298045440,39.18,92.498,3.593,0,593.367,0.820,0,0.00,4000.0,6154.5,5384.8,769.2,382.6,1254.8,215.1,8947.8,1.001,1,0.000,0.010,0.000,0.000,0.000
11,256,180.051,265.557,121.017,190992384,41.45,57.050,1.985,47,551.225,0.820,0,0.18,4000.0,6154.7,5385.1,769.2,382.4,1253.8,213.2,8948.6,0.773,1,0.000,0.011,0.000,0.000,0.000
12,256,233.169,505.915,118.477,356901440,42.67,112.549,2.143,0,607.272,0.820,0,0.00,4000.0,6154.7,5385.1,769.2,382.4,1253.8,213.2,8948.8,0.903,1,0.000,0.010,0.000,0.000,0.000
13,256,184.336,314.683,112.475,224968704,44.39,68.340,3.522,0,528.972,0.820,0,0.00,4000.0,6154.7,5385.1,769.2,382.4,1251.5,208.1,8951.3,1.081,1,0.000,0.011,0.000,0.000,0.000
14,256,277.062,588.563,83.224,414683136,45.10,192.076,1.762,0,694.699,0.820,0,0.00,4000.0,6144.1,5374.5,769.2,393.2,1282.2,246.4,8940.3,1.048,1,0.000,0.008,0.000,0.000,0.000
15,256,228.863,257.063,98.310,177266688,46.76,128.231,2.321,47,652.958,0.820,0,0.18,4000.0,6129.1,5359.5,769.2,408.4,1283.0,252.9,8923.6,0.527,1,0.000,0.005,0.000,0.000,0.000
16,256,199.083,194.001,87.671,134406144,48.47,109.934,1.479,0,565.758,0.820,0,0.00,4000.0,6116.2,5346.6,769.2,421.2,1285.1,260.9,8909.3,0.578,1,0.000,0.005,0.000,0.000,0.000
17,256,220.537,209.822,108.263,152580096,49.96,110.825,1.450,0,621.008,0.820,0,0.00,4000.0,6099.6,5330.0,769.2,437.7,1284.9,231.4,8903.6,0.534,1,0.000,0.006,0.000,0.000,0.000
18,256,354.518,730.991,79.637,488742912,50.06,272.248,2.632,0,869.197,0.820,0,0.00,4000.0,6079.6,5310.1,769.1,457.9,1272.4,209.4,8902.8,0.765,1,0.000,0.005,0.000,0.000,0.000
19,256,219.426,287.641,88.374,203931648,51.19,129.555,1.497,47,609.129,0.820,0,0.18,4000.0,6064.9,5295.3,769.1,472.6,1271.6,208.5,8887.3,0.543,1,0.000,0.006,0.000,0.000,0.000
20,256,197.875,216.213,83.567,152973312,52.42,112.829,1.478,0,550.015,0.820,0,0.00,4000.0,6052.4,5282.8,769.1,485.1,1274.3,210.0,8873.6,0.563,1,0.000,0.007,0.000,0.000,0.000
21,256,191.885,185.694,87.599,128876544,53.65,102.101,2.185,0,555.905,0.820,0,0.00,4000.0,6039.7,5270.2,769.1,497.7,1274.8,210.5,8858.8,0.535,1,0.000,0.006,0.000,0.000,0.000
22,256,192.586,149.509,109.488,99250176,54.89,81.720,1.377,0,581.025,0.820,0,0.00,4000.0,6036.0,5266.5,769.1,501.5,1281.1,230.2,8850.6,0.546,1,0.000,0.006,0.000,0.000,0.000
23,256,255.446,350.824,80.255,243634176,55.59,172.683,2.508,47,706.809,0.820,0,0.18,4000.0,6024.7,5266.6,757.8,501.4,1287.7,261.2,8843.8,0.525,1,0.000,0.007,0.000,0.000,0.000
24,256,180.005,133.011,109.677,86507520,56.73,68.965,1.363,1,541.851,0.820,0,0.00,4000.0,6018.2,5266.6,751.2,501.4,1291.4,280.7,8838.8,0.525,1,0.000,0.006,0.000,0.000,0.000
25,256,123.835,139.110,88.591,107053056,57.74,33.634,1.611,0,387.360,0.820,0,0.00,4000.0,6018.2,5266.6,751.2,501.4,1291.2,280.4,8837.8,0.576,1,0.000,0.007,0.000,0.000,0.000
26,256,168.805,234.670,112.276,176971776,58.48,53.069,3.460,0,496.026,0.820,0,0.00,4000.0,6018.2,5266.6,751.2,501.4,1288.3,268.8,8840.7,0.606,1,0.000,0.009,0.000,0.000,0.000
27,256,134.202,133.563,98.245,97173504,59.41,34.184,1.774,47,431.455,0.820,0,0.18,4000.0,6018.4,5266.7,751.2,501.2,1288.2,268.3,8839.7,0.743,1,0.000,0.009,0.000,0.000,0.000
28,256,144.670,169.621,98.971,123543552,60.21,43.873,1.826,0,435.473,0.820,0,0.00,4000.0,6018.4,5266.7,751.2,501.1,1286.5,265.4,8840.2,0.599,1,0.000,0.009,0.000,0.000,0.000
29,256,116.882,97.648,89.248,67055616,61.12,25.029,2.605,0,392.410,0.820,0,0.00,4000.0,6018.4,5266.7,751.2,501.1,1286.5,265.4,8838.9,1.001,1,0.000,0.007,0.000,0.000,0.000
30,256,108.408,84.547,85.143,64782336,61.99,21.668,1.597,0,360.472,0.820,0,0.00,4000.0,6018.4,5266.7,751.2,501.1,1286.5,265.4,8837.4,0.714,1,0.000,0.007,0.000,0.000,0.000
31,256,106.605,91.692,79.289,74956800,62.78,24.880,2.435,47,350.355,0.820,0,0.18,4000.0,6018.6,5267.0,751.2,501.0,1286.0,264.9,8836.7,0.508,1,0.000,0.006,0.000,0.000,0.000
32,256,97.895,75.410,75.220,50958336,63.60,21.459,1.216,0,312.781,0.820,0,0.00,4000.0,6018.6,5267.0,751.2,501.0,1286.0,264.9,8834.9,0.507,1,0.000,0.006,0.000,0.000,0.000
33,256,251.124,646.992,98.637,449740800,63.42,150.524,1.963,0,543.482,0.820,0,0.00,4000.0,6018.6,5267.0,751.2,501.0,1285.8,264.6,8831.7,0.545,1,0.000,0.009,0.000,0.000,0.000
34,256,234.590,550.607,101.113,388706304,63.39,129.607,3.870,1,550.614,0.820,0,0.00,4000.0,6018.6,5267.0,751.2,501.0,1284.7,258.5,8835.0,0.888,1,0.000,0.009,0.000,0.000,0.000
35,256,232.135,563.617,99.992,403918848,63.33,130.098,2.044,48,526.924,0.820,0,0.19,4000.0,6018.1,5266.5,751.2,501.5,1262.5,236.3,8901.1,1.102,1,0.000,0.009,0.000,0.000,0.000
36,256,158.846,238.494,101.475,172228608,63.79,55.216,2.155,0,455.746,0.820,0,0.00,4000.0,6018.1,5266.5,751.2,501.5,1275.0,248.4,8910.4,1.057,1,0.000,0.010,0.000,0.000,0.000
37,256,143.702,158.965,99.885,113172480,64.35,40.204,3.613,2,435.133,0.820,0,0.01,4000.0,6018.1,5266.5,751.2,501.5,1274.5,247.9,8909.1,0.836,1,0.000,0.008,0.000,0.000,0.000
38,256,166.716,255.834,107.159,182992896,64.74,57.542,2.015,1,483.037,0.820,0,0.00,4000.0,6018.0,5266.3,751.2,501.5,1274.5,247.9,8908.4,0.756,1,0.000,0.008,0.000,0.000,0.000
39,256,150.188,171.757,105.775,126013440,65.24,41.008,3.405,47,461.995,0.820,0,0.18,4000.0,6018.1,5266.5,751.2,501.4,1274.0,247.4,8906.9,1.122,1,0.000,0.010,0.000,0.000,0.000
40,256,188.088,356.506,109.322,257556480,65.44,76.830,1.936,0,516.688,0.820,0,0.00,4000.0,6016.1,5264.5,751.2,503.2,1274.5,247.9,8903.7,0.772,1,0.000,0.012,0.000,0.000,0.000
41,256,144.573,185.811,99.073,139739136,65.88,43.587,1.912,1,439.906,0.820,0,0.00,4000.0,6013.9,5262.2,751.2,505.5,1274.5,247.9,8900.4,0.860,1,0.000,0.009,0.000,0.000,0.000
42,256,87.761,35.247,75.493,21430272,66.52,10.078,2.190,0,316.717,0.820,0,0.00,4000.0,6013.9,5262.2,751.2,505.5,1274.5,247.9,8900.4,0.734,1,0.000,0.006,0.000,0.000,0.000
43,256,132.753,158.492,92.653,118308864,66.96,38.438,1.662,48,401.131,0.820,0,0.19,4000.0,6014.1,5262.5,751.2,505.2,1274.5,247.9,8900.9,0.519,1,0.000,0.007,0.000,0.000,0.000
44,256,164.041,230.291,109.812,169758720,67.28,52.343,1.886,1,491.204,0.820,0,0.00,4000.0,6014.1,5262.5,751.2,505.2,1274.3,247.6,8900.9,0.878,1,0.000,0.008,0.000,0.000,0.000
45,256,125.961,118.191,95.973,91643904,67.73,27.089,2.899,2,410.156,0.820,0,0.01,4000.0,6014.1,5262.5,751.2,505.2,1274.3,247.6,8901.2,0.896,1,0.000,0.007,0.000,0.000,0.000
46,256,158.928,197.541,110.747,142503936,68.08,46.411,1.770,0,495.075,0.820,0,0.00,4000.0,6014.1,5262.5,751.2,505.2,1274.0,247.4,8901.2,0.595,1,0.000,0.010,0.000,0.000,0.000
47,256,182.352,276.091,116.365,206696448,68.29,62.164,3.824,898,549.403,0.820,0,3.51,4000.0,6017.4,5265.7,751.2,501.9,1272.6,246.0,8904.9,0.816,1,0.000,0.011,0.000,0.000,0.000
48,256,137.829,129.389,101.777,93818880,68.70,34.365,1.688,851,449.846,0.820,0,3.32,4000.0,6020.4,5268.7,751.2,498.7,1272.5,245.7,8908.4,0.978,1,0.000,0.007,0.000,0.000,0.000
49,256,138.505,148.408,99.726,107839488,69.07,37.140,1.639,1161,428.694,0.820,0,4.54,4000.0,6025.0,5273.3,751.2,494.2,1272.5,245.5,8913.2,0.802,1,0.000,0.008,0.000,0.000,0.000
50,256,121.206,100.090,92.736,70213632,69.49,25.759,2.710,2,395.696,0.820,0,0.01,4000.0,6025.0,5273.3,751.2,494.2,1273.3,244.5,8915.9,0.856,1,0.000,0.008,0.000,0.000,0.000
51,256,148.239,201.025,98.724,142307328,69.77,47.924,1.591,597,439.264,0.820,0,2.33,4000.0,6027.2,5275.6,751.2,492.0,1272.9,244.0,8918.4,0.627,1,0.000,0.008,0.000,0.000,0.000
52,256,108.455,74.562,87.151,53723136,70.19,19.762,1.542,2,367.974,0.820,0,0.01,4000.0,6027.2,5275.6,751.2,492.0,1270.9,242.0,8918.7,0.718,1,0.000,0.007,0.000,0.000,0.000
53,256,116.470,125.330,81.068,91152384,70.54,33.127,2.275,1,355.577,0.820,0,0.00,4000.0,6027.2,5275.6,751.2,492.0,1269.9,240.6,8918.7,0.570,1,0.000,0.005,0.000,0.000,0.000
54,256,84.283,22.206,76.715,13332480,71.00,6.174,1.394,1,315.003,0.820,0,0.00,4000.0,6027.2,5275.6,751.2,492.0,1269.9,240.6,8918.7,0.750,1,0.000,0.005,0.000,0.000,0.000
55,256,130.858,145.643,89.622,112680960,71.28,38.474,2.762,48,402.884,0.820,0,0.19,4000.0,6027.5,5275.8,751.2,491.7,1269.4,239.8,8919.2,0.541,1,0.000,0.006,0.000,0.000,0.000
56,256,148.427,177.540,107.334,134602752,71.53,39.206,1.887,2,471.999,0.820,0,0.01,4000.0,6027.5,5275.8,751.2,491.7,1269.4,239.8,8919.2,0.769,1,0.000,0.007,0.000,0.000,0.000
57,256,119.956,90.539,89.199,64880640,71.87,29.120,1.638,1,392.081,0.820,0,0.00,4000.0,6027.5,5275.8,751.2,491.7,1267.7,237.3,8920.4,0.651,1,0.000,0.007,0.000,0.000,0.000
58,256,110.279,104.796,79.931,74760192,72.19,28.031,2.318,1,353.739,0.820,0,0.00,4000.0,6027.5,5275.8,751.2,491.7,1267.7,237.3,8920.4,0.551,1,0.000,0.005,0.000,0.000,0.000
59,256,226.460,486.873,112.530,343572480,72.11,112.124,1.806,627,574.140,0.820,0,2.45,4000.0,6030.1,5278.5,751.2,489.2,1265.9,235.6,8923.7,0.690,1,0.000,0.009,0.000,0.000,0.000
60,256,164.121,196.359,119.842,144875520,72.31,42.059,2.220,1,532.523,0.820,0,0.00,4000.0,6030.1,5278.5,751.2,489.2,1266.0,235.4,8923.9,1.000,1,0.000,0.008,0.000,0.000,0.000
61,256,171.261,261.809,110.809,195244032,72.44,57.315,3.137,0,516.111,0.820,0,0.00,4000.0,6030.1,5278.5,751.2,489.2,1266.0,235.4,8923.9,0.811,1,0.000,0.008,0.000,0.000,0.000
62,256,155.568,184.427,109.296,139345920,72.64,44.537,1.734,0,487.382,0.820,0,0.00,4000.0,6030.1,5278.5,751.2,489.2,1266.0,235.4,8923.9,0.865,1,0.000,0.008,0.000,0.000,0.000
63,256,200.676,384.760,112.223,278396928,72.65,84.991,3.463,47,544.440,0.820,0,0.18,4000.0,6030.2,5278.6,751.2,489.1,1265.5,234.7,8924.7,0.813,1,0.000,0.010,0.000,0.000,0.000
64,256,116.675,99.386,89.542,75350016,72.93,25.617,1.515,0,380.755,0.820,0,0.00,4000.0,6030.2,5278.6,751.2,489.1,1265.5,234.7,8924.7,0.755,1,0.000,0.006,0.000,0.000,0.000
65,256,176.700,248.423,114.763,182304768,73.05,60.069,1.868,0,521.487,0.820,0,0.00,4000.0,6030.2,5278.6,751.2,489.1,1260.5,229.6,8924.9,0.617,1,0.000,0.009,0.000,0.000,0.000
66,256,166.208,226.108,103.930,168775680,73.20,58.601,3.678,1,507.168,0.820,0,0.00,4000.0,6030.2,5278.6,751.2,489.1,1248.5,216.9,8925.2,0.989,1,0.000,0.009,0.000,0.000,0.000
67,256,147.245,155.203,101.144,107642880,73.42,44.040,2.061,94,455.701,0.820,0,0.37,4000.0,6030.6,5279.0,751.2,488.7,1249.4,217.7,8925.7,0.831,1,0.000,0.009,0.000,0.000,0.000
68,256,155.620,239.636,99.479,176775168,73.54,54.227,1.915,2,452.963,0.820,0,0.01,4000.0,6030.6,5279.0,751.2,488.7,1242.8,211.1,8926.9,0.780,1,0.000,0.008,0.000,0.000,0.000
69,256,273.003,439.904,87.067,295870464,73.51,183.520,2.416,0,720.691,0.820,0,0.00,4000.0,6006.7,5271.6,734.8,496.0,1292.4,284.9,8914.8,0.837,1,0.000,0.007,0.000,0.000,0.000
70,256,126.591,127.107,81.086,91643904,73.74,44.044,1.461,2,385.206,0.820,0,0.01,4000.0,6006.7,5271.6,734.8,496.0,1293.4,285.9,8912.0,0.542,1,0.000,0.006,0.000,0.000,0.000
71,256,182.546,308.220,107.119,222793728,73.80,72.006,3.420,93,510.510,0.820,0,0.36,4000.0,6007.0,5271.8,734.8,495.7,1292.4,284.9,8910.0,0.687,1,0.000,0.009,0.000,0.000,0.000
72,256,147.404,172.704,103.892,125915136,73.97,41.602,1.910,0,458.159,0.820,0,0.00,4000.0,6004.5,5269.3,734.8,498.4,1292.0,284.1,8906.5,1.088,1,0.000,0.009,0.000,0.000,0.000
73,256,161.956,222.601,109.293,161071104,74.10,50.687,1.976,0,493.625,0.820,0,0.00,4000.0,6002.0,5266.8,734.8,500.9,1291.6,283.3,8903.8,0.905,1,0.000,0.010,0.000,0.000,0.000
74,256,145.003,190.410,98.775,142012416,74.25,42.900,3.329,1,441.579,0.820,0,0.00,4000.0,6000.4,5265.2,734.8,502.5,1290.8,282.5,8900.5,0.724,1,0.000,0.008,0.000,0.000,0.000
75,256,139.869,152.408,99.955,107347968,74.44,38.272,1.642,93,431.872,0.820,0,0.36,4000.0,5999.6,5264.5,734.8,503.2,1289.1,280.2,8898.0,0.723,1,0.000,0.008,0.000,0.000,0.000
76,256,234.836,580.981,99.531,402726912,74.28,133.279,2.026,0,521.858,0.820,0,0.00,4000.0,5994.2,5259.1,734.8,508.6,1284.0,275.1,8891.5,1.184,1,0.000,0.009,0.000,0.000,0.000
77,256,171.764,290.812,102.866,211734528,74.34,65.535,3.363,1,483.104,0.820,0,0.00,4000.0,5990.4,5255.2,734.8,512.4,1283.0,274.1,8887.3,1.009,1,0.000,0.009,0.000,0.000,0.000
78,256,134.033,145.905,95.979,107347968,74.51,36.272,1.782,0,422.814,0.820,0,0.00,4000.0,5987.2,5252.1,734.8,515.6,1281.5,272.6,8883.0,1.073,1,0.000,0.007,0.000,0.000,0.000
79,256,102.828,62.593,81.511,42860544,74.76,19.047,2.270,93,336.902,0.820,0,0.36,4000.0,5985.4,5250.2,734.8,517.6,1280.0,271.2,8880.3,0.846,1,0.000,0.007,0.000,0.000,0.000
80,256,170.243,278.914,103.460,207286272,74.82,64.769,2.015,0,468.782,0.820,0,0.00,4000.0,5981.0,5245.8,734.8,521.9,1278.5,269.7,8875.0,0.531,1,0.000,0.009,0.000,0.000,0.000
81,256,256.032,649.483,100.371,458330112,74.60,153.611,2.050,2,542.683,0.820,0,0.01,4000.0,5978.5,5243.3,734.8,524.4,1277.1,268.2,8872.3,0.779,1,0.000,0.009,0.000,0.000,0.000
82,256,201.740,354.579,119.888,255381504,74.61,78.033,3.819,1,570.706,0.820,0,0.00,4000.0,5978.5,5243.3,734.8,524.4,1277.1,268.2,8872.5,1.030,1,0.000,0.011,0.000,0.000,0.000
83,256,126.091,122.406,94.198,86310912,74.80,30.283,1.611,94,411.159,0.820,0,0.37,4000.0,5978.9,5243.7,734.8,524.0,1276.6,267.8,8873.3,0.908,1,0.000,0.008,0.000,0.000,0.000
84,256,155.315,232.350,102.576,171245568,74.89,51.016,1.723,1,463.762,0.820,0,0.00,4000.0,5978.9,5243.7,734.8,524.0,1276.6,267.8,8873.3,0.808,1,0.000,0.007,0.000,0.000,0.000
85,256,152.292,167.113,111.579,123740160,75.03,37.481,3.232,1,492.892,0.820,0,0.00,4000.0,5978.9,5243.7,734.8,524.0,1273.1,264.8,8873.5,0.938,1,0.000,0.009,0.000,0.000,0.000
86,256,175.976,246.113,112.774,177168384,75.12,61.221,1.980,1,517.204,0.820,0,0.00,4000.0,5978.9,5243.7,734.8,524.0,1263.2,254.3,8874.1,0.780,1,0.000,0.009,0.000,0.000,0.000
87,256,124.713,105.417,95.611,72585216,75.30,26.262,2.840,91,410.454,0.820,0,0.36,4000.0,5979.2,5244.1,734.8,523.6,1263.2,254.3,8874.6,0.829,1,0.000,0.008,0.000,0.000,0.000
88,256,120.027,112.852,88.923,88682496,75.47,29.568,1.537,0,383.932,0.820,0,0.00,4000.0,5979.2,5244.1,734.8,523.6,1263.2,254.3,8874.6,0.617,1,0.000,0.006,0.000,0.000,0.000
89,256,150.432,210.007,102.708,161169408,75.56,45.971,1.753,1,463.167,0.820,0,0.00,4000.0,5979.2,5244.1,734.8,523.6,1263.0,253.6,8874.6,0.619,1,0.000,0.008,0.000,0.000,0.000
90,256,198.657,370.554,114.027,265850880,75.55,80.888,3.742,2,552.950,0.820,0,0.01,4000.0,5979.2,5244.1,734.8,523.6,1263.0,253.5,8874.8,1.108,1,0.000,0.010,0.000,0.000,0.000
91,256,164.887,225.938,114.379,169463808,75.63,48.562,1.947,94,512.122,0.820,0,0.37,4000.0,5979.6,5244.5,734.8,523.2,1262.8,253.2,8875.6,1.108,1,0.000,0.009,0.000,0.000,0.000
92,256,157.311,200.751,110.641,152973312,75.73,44.849,1.821,0,498.300,0.820,0,0.00,4000.0,5979.6,5244.5,734.8,523.2,1261.9,252.0,8876.3,0.796,1,0.000,0.008,0.000,0.000,0.000
93,256,156.630,209.583,103.562,155738112,75.82,50.318,2.749,1,464.921,0.820,0,0.00,4000.0,5979.6,5244.5,734.8,523.2,1260.3,248.0,8876.8,0.862,1,0.000,0.008,0.000,0.000,0.000
94,256,186.831,320.927,113.478,233459712,75.83,71.367,1.986,1,534.308,0.820,0,0.00,4000.0,5979.6,5244.5,734.8,523.2,1260.2,247.8,8876.8,0.905,1,0.000,0.009,0.000,0.000,0.000
95,256,183.514,247.761,128.186,177463296,75.90,51.625,3.703,93,588.754,0.820,0,0.36,4000.0,5980.0,5244.8,734.8,522.9,1259.7,247.3,8877.3,0.819,1,0.000,0.010,0.000,0.000,0.000
96,256,172.629,268.499,113.598,201363456,75.95,57.124,1.907,1,516.756,0.820,0,0.00,4000.0,5980.0,5244.8,734.8,522.9,1258.8,245.4,8877.6,0.728,1,0.000,0.008,0.000,0.000,0.000
97,256,121.545,108.920,92.877,86114304,76.10,27.106,1.562,1,393.958,0.820,0,0.00,4000.0,5980.0,5244.8,734.8,522.9,1267.0,252.5,8878.1,0.993,1,0.000,0.007,0.000,0.000,0.000
98,256,135.359,163.405,93.844,126210048,76.21,38.749,2.766,1,419.844,0.820,0,0.00,4000.0,5980.0,5244.8,734.8,522.7,1267.0,252.5,8878.1,0.612,1,0.000,0.007,0.000,0.000,0.000
99,256,195.160,362.563,112.289,263675904,76.19,80.926,1.946,94,535.482,0.820,0,0.37,4000.0,5980.4,5245.2,734.8,522.5,1266.0,251.6,8878.8,0.765,1,0.000,0.010,0.000,0.000,0.000
100,256,257.874,651.143,102.481,460996608,76.00,153.523,1.869,2,563.807,0.820,0,0.01,4000.0,5980.4,5245.2,734.8,522.4,1266.1,251.6,8879.3,0.843,1,0.000,0.009,0.000,0.000,0.000
101,256,191.878,307.952,120.281,218247168,76.02,68.053,3.545,1,565.882,0.820,0,0.00,4000.0,5980.4,5245.2,734.8,522.4,1266.1,251.6,8879.8,0.999,1,0.000,0.009,0.000,0.000,0.000
102,256,192.969,314.835,122.442,230596608,76.04,68.545,1.983,2,564.567,0.820,0,0.01,4000.0,5980.4,5245.2,734.8,522.4,1265.2,250.6,8880.5,0.870,1,0.000,0.010,0.000,0.000,0.000
103,256,181.251,246.934,94.900,177463296,76.10,83.541,2.810,95,526.913,0.820,0,0.37,4000.0,5980.7,5245.6,734.8,522.0,1248.4,233.5,8898.5,0.834,1,0.000,0.007,0.000,0.000,0.000
104,256,116.209,102.551,87.282,72486912,76.25,27.434,1.493,1,371.537,0.820,0,0.00,4000.0,5980.7,5245.6,734.8,522.0,1248.2,233.3,8898.8,0.773,1,0.000,0.006,0.000,0.000,0.000
105,256,98.486,76.141,77.225,56389632,76.41,20.011,1.250,1,332.625,0.820,0,0.00,4000.0,5980.9,5245.7,734.8,522.0,1247.8,232.9,8898.8,0.527,1,0.000,0.005,0.000,0.000,0.000
106,256,308.428,852.408,95.736,592834560,76.11,208.977,3.715,1506,578.343,0.820,0,5.88,4000.0,5986.5,5251.3,734.8,516.4,1246.3,231.4,8905.3,0.565,1,0.000,0.009,0.000,0.000,0.000
107,256,228.381,533.466,106.750,382586880,76.00,119.666,1.965,94,545.244,0.820,0,0.37,4000.0,5986.9,5251.7,734.8,516.0,1245.2,230.2,8905.8,1.004,1,0.000,0.011,0.000,0.000,0.000
108,256,247.894,617.508,102.579,431271936,75.84,143.166,2.148,0,546.706,0.820,0,0.00,4000.0,5986.9,5251.7,734.8,516.0,1244.9,230.0,8906.0,1.079,1,0.000,0.010,0.000,0.000,0.000
109,256,229.764,503.732,107.436,357003264,75.75,118.630,3.698,0,573.675,0.820,0,0.00,4000.0,5985.5,5250.3,734.8,517.2,1240.8,217.7,8906.3,1.088,1,0.000,0.009,0.000,0.000,0.000
110,256,178.664,153.413,89.290,105172992,75.87,87.871,1.503,0,527.749,0.820,0,0.00,4000.0,5975.4,5240.2,734.8,527.5,1258.5,235.4,8894.8,0.558,1,0.000,0.005,0.000,0.000,0.000
111,256,224.082,295.726,85.061,204521472,75.91,136.557,2.465,94,613.779,0.820,0,0.37,4000.0,5961.0,5228.2,732.4,539.6,1262.4,244.4,8880.8,0.542,1,0.000,0.005,0.000,0.000,0.000
112,256,182.590,140.434,104.223,99250176,76.03,76.947,1.420,1,551.103,0.820,0,0.00,4000.0,5947.4,5220.7,726.2,547.1,1264.5,257.5,8870.8,0.586,1,0.000,0.005,0.000,0.000,0.000
113,256,224.815,252.054,91.076,169365504,76.09,132.219,1.521,0,636.837,0.820,0,0.00,4000.0,5933.2,5220.1,712.8,547.7,1273.7,294.1,8862.4,0.525,1,0.000,0.005,0.000,0.000,0.000
114,256,118.695,110.401,84.165,78409728,76.23,32.010,2.520,0,358.400,0.820,0,0.00,4000.0,5933.2,5220.1,712.8,547.7,1271.8,292.2,8860.6,0.579,1,0.000,0.006,0.000,0.000,0.000
115,256,127.870,148.380,89.756,107347968,76.33,36.661,1.453,94,393.093,0.820,0,0.37,4000.0,5933.5,5220.3,712.8,547.5,1271.5,291.9,8858.9,0.523,1,0.000,0.007,0.000,0.000,0.000
116,256,171.155,263.052,107.390,188030976,76.38,61.835,1.930,0,477.720,0.820,0,0.00,4000.0,5932.2,5219.1,712.8,548.7,1271.6,291.9,8855.1,0.751,1,0.000,0.010,0.000,0.000,0.000
117,256,214.681,472.464,103.208,345354240,76.30,107.821,3.653,0,518.885,0.820,0,0.00,4000.0,5930.5,5217.3,712.8,550.4,1270.1,290.5,8850.4,1.025,1,0.000,0.009,0.000,0.000,0.000
118,256,197.813,393.226,106.704,281751552,76.27,89.118,1.991,1,510.755,0.820,0,0.00,4000.0,5929.6,5216.5,712.8,551.2,1269.4,289.7,8846.6,1.026,1,0.000,0.009,0.000,0.000,0.000
119,256,195.932,379.773,105.597,266440704,76.25,86.754,3.581,93,506.294,0.820,0,0.36,4000.0,5929.0,5215.8,712.8,552.0,1267.3,287.6,8844.1,1.132,1,0.000,0.009,0.000,0.000,0.000
120,256,148.373,164.643,105.886,120975360,76.35,40.517,1.971,2,474.382,0.820,0,0.01,4000.0,5928.0,5214.8,712.8,553.0,1266.3,286.7,8840.9,0.919,1,0.000,0.009,0.000,0.000,0.000
