build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,lazy_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"9f31776","1","CPU","QUALCOMM Adreno(TM) 829","OpenCL","L4.gguf","qwen3moe ?B Q4_0","1886308352","3114814464","2048","512","4","0x0","0","50","f16","f16","0","0","layer","0","0","-1","auto","0.00","none","auto","auto","0","0","0","0","0","0","128","0","2026-09-19T15:57:35Z","2112976957","1118782786","69.875581","22.110403"
