# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.repacked.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4841 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,111.475,0.000,110.141,0,50.00,0.000,1.334,0,390.315,-1.000,0,0.00,4841.6,3815.7,2378.0,1437.3,39.3,4539.5,194.1,10370.2,0.372,1,0.000,0.005,0.000,0.000,0.000
2,256,126.280,244.070,125.036,181911552,66.67,0.000,1.244,2,594.163,1.000,0,0.01,4841.6,3977.3,2550.9,1426.1,39.3,4370.6,125.7,10365.9,1.490,1,0.000,0.005,0.000,0.000,0.000
3,256,130.280,222.407,129.790,179245056,75.00,0.000,0.490,0,630.053,1.000,0,0.00,4841.6,4120.3,2721.2,1398.7,39.3,4201.8,168.1,10361.9,4.784,1,0.000,0.005,0.000,0.000,0.000
4,256,136.670,213.823,136.160,179245056,80.00,0.000,0.510,0,688.498,1.000,0,0.00,4841.6,4288.3,2891.2,1396.7,39.3,4036.3,127.4,10355.2,0.523,1,0.000,0.005,0.000,0.000,0.000
5,256,135.476,226.358,134.208,173912064,83.33,0.000,1.268,0,628.830,1.000,0,0.00,4841.6,4436.3,3056.5,1379.4,39.3,3871.4,126.1,10351.7,0.517,1,0.000,0.005,0.000,0.000,0.000
6,256,127.283,156.454,126.615,131248128,85.71,0.000,0.668,0,619.025,1.000,0,0.00,4841.6,4528.1,3181.1,1346.6,39.3,3750.8,160.8,10346.9,0.516,1,0.000,0.006,0.000,0.000,0.000
7,256,115.524,111.136,113.368,85622784,87.50,0.000,2.156,0,481.504,1.000,0,0.00,4841.6,4608.8,3262.4,1346.1,39.3,3671.1,127.1,10343.9,4.653,1,0.000,0.005,0.000,0.000,0.000
8,256,126.187,75.395,125.347,56094720,88.89,0.000,0.839,0,511.700,1.000,0,0.00,4841.6,4643.6,3315.6,1327.6,39.3,3621.4,135.1,10340.6,0.515,1,0.000,0.006,0.000,0.000,0.000
9,256,108.081,19.372,107.009,13332480,90.00,0.000,1.072,0,393.802,1.000,0,0.00,4841.6,4627.5,3328.4,1298.7,39.3,3608.7,155.7,10337.5,5.262,1,0.000,0.006,0.000,0.000,0.000
10,256,59.444,31.596,57.740,21430272,90.91,0.000,1.703,0,261.382,1.000,0,0.00,4841.6,4644.5,3348.9,1295.2,39.3,3590.9,150.3,10334.8,0.520,1,0.000,0.005,0.000,0.000,0.000
11,256,61.192,23.912,60.121,18665472,91.67,0.000,1.071,0,261.942,1.000,0,0.00,4841.6,4654.5,3366.4,1287.7,39.3,3574.5,205.8,10334.3,0.521,1,0.000,0.005,0.000,0.000,0.000
12,256,59.602,23.862,58.552,18665472,92.31,0.000,1.049,0,259.371,1.000,0,0.00,4841.6,4672.1,3384.0,1287.7,39.3,3559.5,191.3,10334.0,0.522,1,0.000,0.005,0.000,0.000,0.000
13,256,61.455,22.550,59.506,15998976,92.86,0.000,1.949,0,261.448,1.000,0,0.00,4841.6,4687.0,3399.2,1287.3,39.3,3545.0,243.8,10332.5,0.500,1,0.000,0.005,0.000,0.000,0.000
14,256,59.507,17.971,58.409,13430784,93.33,0.000,1.098,0,244.177,1.000,0,0.00,4841.6,4699.7,3412.0,1287.3,39.3,3534.9,233.2,10329.2,0.533,1,0.000,0.004,0.000,0.000,0.000
15,256,60.942,32.436,58.844,21430272,93.75,0.000,2.099,0,263.437,1.000,0,0.00,4841.6,4707.3,3432.3,1274.6,39.3,3514.8,283.3,10328.5,0.522,1,0.000,0.004,0.000,0.000,0.000
16,256,58.957,4.052,57.784,2666496,94.12,0.000,1.173,0,250.654,1.000,0,0.00,4841.6,4710.0,3435.0,1274.6,39.3,3513.8,284.8,10325.2,0.510,1,0.000,0.004,0.000,0.000,0.000
17,256,58.725,16.687,57.589,10764288,94.44,0.000,1.136,0,254.642,1.000,0,0.00,4841.6,4720.2,3445.2,1274.6,39.3,3505.5,280.6,10324.0,0.503,1,0.000,0.003,0.000,0.000,0.000
18,256,59.222,8.310,57.442,5431296,94.74,0.000,1.779,0,240.136,1.000,0,0.00,4841.6,4725.4,3450.5,1274.6,39.3,3500.2,273.0,10324.0,0.502,1,0.000,0.004,0.000,0.000,0.000
19,256,58.610,13.324,57.491,7999488,95.00,0.000,1.119,0,241.354,1.000,0,0.00,4841.6,4730.3,3455.3,1274.6,42.0,3492.4,270.3,10320.7,0.527,1,0.000,0.004,0.000,0.000,0.000
20,256,58.956,13.160,57.847,7999488,95.24,0.000,1.108,0,253.705,1.000,0,0.00,4841.6,4734.3,3459.3,1274.6,45.3,3486.1,266.1,10316.5,0.517,1,0.000,0.004,0.000,0.000,0.000
21,256,59.341,13.182,57.623,7999488,95.45,0.000,1.718,0,253.603,0.996,0,0.00,4841.6,4738.4,3463.5,1274.6,49.1,3478.0,262.2,10312.2,0.517,1,0.000,0.005,0.000,0.000,0.000
22,256,58.779,18.167,57.748,10665984,95.65,0.000,1.031,0,254.668,0.996,0,0.00,4841.6,4744.1,3469.1,1274.6,53.6,3467.7,256.0,10307.7,0.501,1,0.000,0.005,0.000,0.000,0.000
23,256,60.302,14.657,58.404,10665984,95.83,0.000,1.897,0,255.078,0.984,0,0.00,4841.6,4751.1,3476.3,1274.3,56.5,3457.4,255.5,10304.5,0.504,1,0.000,0.004,0.000,0.000,0.000
24,256,58.898,7.072,57.733,5332992,96.00,0.000,1.164,0,252.390,0.984,0,0.00,4841.6,4753.7,3479.6,1273.7,58.2,3449.3,251.0,10306.7,0.496,1,0.000,0.004,0.000,0.000,0.000
25,256,60.028,18.351,58.900,10764288,96.15,0.000,1.128,0,255.123,0.984,0,0.00,4841.6,4755.3,3487.6,1267.3,60.3,3436.9,239.5,10308.5,0.521,1,0.000,0.004,0.000,0.000,0.000
26,256,59.285,16.713,57.553,10665984,96.30,0.000,1.732,0,254.794,0.977,0,0.00,4841.6,4761.9,3494.2,1267.3,64.0,3428.2,238.3,10304.3,0.504,1,0.000,0.004,0.000,0.000,0.000
27,256,59.123,5.027,57.943,2666496,96.43,0.000,1.180,0,250.833,0.977,0,0.00,4841.6,4756.9,3492.1,1264.4,68.5,3423.8,237.3,10299.5,0.496,1,0.000,0.004,0.000,0.000,0.000
28,256,59.175,8.840,58.010,5332992,96.55,0.000,1.166,0,252.203,0.977,0,0.00,4841.6,4754.1,3492.7,1260.9,73.0,3418.2,235.1,10295.0,0.506,1,0.000,0.004,0.000,0.000,0.000
29,256,59.066,10.279,57.294,5332992,96.67,0.000,1.772,0,251.472,0.965,0,0.00,4841.6,4754.6,3493.2,1260.9,77.5,3413.0,232.2,10291.1,0.505,1,0.000,0.004,0.000,0.000,0.000
30,256,59.608,0.000,58.473,0,96.77,0.000,1.135,0,249.431,0.965,0,0.00,4841.6,4750.1,3488.7,1260.9,82.1,3413.2,230.8,10286.6,0.503,1,0.000,0.004,0.000,0.000,0.000
31,256,59.631,8.085,57.845,5332992,96.88,0.000,1.786,0,252.606,0.953,0,0.00,4841.6,4753.1,3491.7,1260.9,84.2,3409.7,224.5,10282.6,0.509,1,0.000,0.004,0.000,0.000,0.000
32,256,60.265,9.930,59.116,5332992,96.97,0.000,1.149,0,253.790,0.953,0,0.00,4841.6,4752.3,3496.6,1255.3,84.2,3405.0,291.9,10281.8,0.500,1,0.000,0.005,0.000,0.000,0.000
33,256,59.205,13.345,58.000,10665984,97.06,0.000,1.205,0,254.919,0.953,0,0.00,4841.6,4762.4,3506.7,1255.3,84.2,3397.9,290.8,10278.3,0.508,1,0.000,0.005,0.000,0.000,0.000
34,256,59.786,3.590,57.859,2666496,97.14,0.000,1.927,0,251.809,0.953,0,0.00,4841.6,4765.1,3509.3,1255.3,84.2,3396.7,288.0,10277.1,0.502,1,0.000,0.004,0.000,0.000,0.000
35,256,58.806,0.000,57.503,0,97.22,0.000,1.303,0,249.390,0.953,0,0.00,4841.6,4765.2,3509.5,1255.3,84.2,3396.8,288.0,10277.1,0.498,1,0.000,0.004,0.000,0.000,0.000
36,256,59.116,0.000,57.987,0,97.30,0.000,1.128,0,249.748,0.953,0,0.00,4841.6,4765.2,3509.5,1255.3,84.2,3396.4,290.8,10276.8,0.502,1,0.000,0.004,0.000,0.000,0.000
